,subject_id,task,condition,target,response,PROLIFIC_PID
224,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,4,5fd8a13aaf5bd723a0e0e3fa
225,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,3,5fd8a13aaf5bd723a0e0e3fa
226,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,2,5fd8a13aaf5bd723a0e0e3fa
227,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,1,5fd8a13aaf5bd723a0e0e3fa
228,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,1,5fd8a13aaf5bd723a0e0e3fa
229,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,1,5fd8a13aaf5bd723a0e0e3fa
230,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,4,5fd8a13aaf5bd723a0e0e3fa
231,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,3,5fd8a13aaf5bd723a0e0e3fa
232,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,2,5fd8a13aaf5bd723a0e0e3fa
233,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,3,5fd8a13aaf5bd723a0e0e3fa
234,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,3,5fd8a13aaf5bd723a0e0e3fa
235,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,1,5fd8a13aaf5bd723a0e0e3fa
236,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,2,5fd8a13aaf5bd723a0e0e3fa
237,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,4,5fd8a13aaf5bd723a0e0e3fa
238,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,2,5fd8a13aaf5bd723a0e0e3fa
239,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,1,5fd8a13aaf5bd723a0e0e3fa
240,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,1,5fd8a13aaf5bd723a0e0e3fa
241,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,4,5fd8a13aaf5bd723a0e0e3fa
242,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,3,5fd8a13aaf5bd723a0e0e3fa
243,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,1,5fd8a13aaf5bd723a0e0e3fa
244,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,4,5fd8a13aaf5bd723a0e0e3fa
245,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,3,5fd8a13aaf5bd723a0e0e3fa
246,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,4,5fd8a13aaf5bd723a0e0e3fa
247,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,3,5fd8a13aaf5bd723a0e0e3fa
248,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,2,5fd8a13aaf5bd723a0e0e3fa
249,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,3,5fd8a13aaf5bd723a0e0e3fa
250,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,4,5fd8a13aaf5bd723a0e0e3fa
251,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,2,5fd8a13aaf5bd723a0e0e3fa
252,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,3,5fd8a13aaf5bd723a0e0e3fa
253,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,2,5fd8a13aaf5bd723a0e0e3fa
254,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,3,5fd8a13aaf5bd723a0e0e3fa
255,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,1,5fd8a13aaf5bd723a0e0e3fa
256,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,2,5fd8a13aaf5bd723a0e0e3fa
257,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,2,5fd8a13aaf5bd723a0e0e3fa
258,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,2,5fd8a13aaf5bd723a0e0e3fa
259,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,3,5fd8a13aaf5bd723a0e0e3fa
260,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,4,5fd8a13aaf5bd723a0e0e3fa
261,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,2,5fd8a13aaf5bd723a0e0e3fa
262,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,3,5fd8a13aaf5bd723a0e0e3fa
263,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,2,5fd8a13aaf5bd723a0e0e3fa
264,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,3,5fd8a13aaf5bd723a0e0e3fa
265,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,2,5fd8a13aaf5bd723a0e0e3fa
266,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,3,5fd8a13aaf5bd723a0e0e3fa
267,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,4,5fd8a13aaf5bd723a0e0e3fa
